Authors,Author full names,Author(s) ID,Title,Year,Link,Abstract
Doǧan A.L.; Kotut L.,"Doǧan, Amelia Lee (57768039700); Kotut, Lindah (55838278500)",57768039700; 55838278500,Tomatoes Die: A Design Fiction for Grassroots Climate AI,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216001930&doi=10.1145%2f3701212&partnerID=40&md5=2cd7bcc99a477e928b67ca38ce5c7c1a,"This design fiction proposes a panel session in the near future having environment and climate advocates share their stories of using artificial intelligence (AI) in their work. This work explores how the development of an embodied river persona, a farming assistant app, and a community hazard mapping tool could pose challenges and aid successes to respective local communities. Our design fiction highlights issues of design and development challenges that local organizations might face in a varied AI development for the environment. We explore questions around incorporating traditional knowledge, ethical participatory design models, and challenges of implementing and sustaining tools. Our work demonstrates how design fiction might be used to imagine AI for the climate challenge that considers people, place, and community.  © 2025 Owner/Author."
Berger M.,"Berger, Mathieu (57202437498)",57202437498,The Frame Analysis of Participation: A Goffmanian Take on Democratic Interaction and its Ambiguities,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206657097&doi=10.1002%2fsymb.1211&partnerID=40&md5=82cb1245413d41fb65ba70a548e3aba4,"Drawing on Goffman's Frame Analysis and 20 years of observations of city planning councils in Western Europe and North America, this article lays the groundwork for a grammar of democratic ambiguity characterizing top-down participatory processes and other public meetings aimed at some degree of citizen inclusion in local, municipal, or regional government. After pointing out Goffman's singular conception of the “interaction order,” the author shows how institutional organizers and ordinary citizens deal with interactional ambiguity, in its contrasting effects on the dynamics of these participatory assemblies. A primary form of ambiguity, between a “representative” and a “deliberative” definition of participatory democracy, is proving inhibiting for citizens' involvement and tends to “suspend interaction.” A second type of ambiguity arises from a wide range of facilitation methods (playful, dramaturgical, educational, therapeutic, esthetic, etc.) designed to transform the initial ambiguity to offer more fluid interaction and more stimulating involvement opportunities, yet in an activity that now has only an uncertain connection to civic participation. The author concludes by presenting some frame-analytical tools for tracking and evaluating dynamics of ambiguity transformation in participatory processes and emphasizes the implications of this type of sociological analysis for political theory. © 2024 Society for the Study of Symbolic Interaction (SSSI)."
Nikitina A.; Karlova N.; Kravchenko M.; Lapko O.; Barylova H.; Kotienieva J.,"Nikitina, Alla (59335336400); Karlova, Nadiia (59169273300); Kravchenko, Marcharita (59336495100); Lapko, Olena (59335660100); Barylova, Halyna (59335660200); Kotienieva, Juliia (59169368100)",59335336400; 59169273300; 59336495100; 59335660100; 59335660200; 59169368100,The Role of Multimedia Resources in the Development of Critical Comprehension of Texts in Teaching of Language and Literature in Higher Education Institutions,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204425220&doi=10.30564%2ffls.v6i4.6668&partnerID=40&md5=5f21f5eeb70fce2a1472dd71ba50f633,"The aim of the article is to determine the possibilities of using multimedia technologies for the development of critical thinking of students of higher education institutions (HIEs) in the philological context. The research used L. Starkey’s test of critical thinking, observation, and conversation to study the ability to comprehend texts critically. Such criteria as the ability to argue a position, the depth of the analysis, the independence of the analysis, the level of difference between the results of one’s own cognitive search and theoretical constructs from textbooks, and the quality of reflection were studied. Each of the criteria was evaluated at three levels—low, medium and high. The formative experiment made it possible to test the formulated hypothesis. The experiment’s independent variable is a system of exercises aimed at developing critical thinking, which involves the use of multimedia technologies. The dependent variable is the critical thinking of education seekers. In general, the research hypotheses were confirmed, as the experimental programme demonstrated effectiveness depending on the students’ year of study. A gradual increase in the values of the studied components during undergraduate studies is recorded. The developed programme began to partially demonstrate effectiveness starting from the second year, and the greatest positive effect was recorded in the fourth year. The use of multimedia technologies provided additional developmental opportunities for the development of critical thinking in students’ work with text material. At the same time, critical reading of texts turned out to be more sensitive to pedagogical influence, compared to critical thinking in general. The obtained data can be used to strengthen the developmental effect of educational programmes of HEIs. In particular, experimental data will help to optimize the teaching of educational components in the context of developing students’ critical thinking and active civic position in the information field. The practical aspect of increasing distance learning opportunities is especially important. Further research prospects are to determine the effectiveness of using multimedia technologies for the development of students’ critical thinking when studying different academic subjects. © 2024 by the author(s). Published by Bilingual Publishing Co."
Szot J.,"Szot, Jan (59469044800)",59469044800,"Video Games in Civic Engagement in Urban Planning, a Methodology for Effective and Informed Selection of Games for Specific Needs",2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211762557&doi=10.3390%2fsu162310411&partnerID=40&md5=8db82b97c262ecf1720de5b7d77e2baa,"Video games are recognized as significant tools and mediums to be used in civic participation in spatial planning and fostering local communities. As the phenomenon is widely recognized in papers presenting singular case studies and broader analyses in the field, selecting such serious games with certain characteristics remains unclear. The informed process of choosing games with particular properties regarding genesis, graphic style, genre, and complexity as the response for specified needs and process assumptions appears to be supportive in preventing unnecessary costs and data overproduction. Such avoidance is an important part of sustainable digital transformation. Therefore, there is a need for a more conscious process of selecting video games to be used in a participatory process. The following paper aims to propose a numerical base for a decisional instrument that could be useful for specifying the characteristics of games to be utilized in participation. They performed a multicriteria analysis of documented cases of implementing video games in civic engagement, allowing the creation of a set of numeric indicators that help determine the properties of games that will be most appropriate for given process assumptions. Such a tool can prevent overproducing data on the one hand and may cause dissemination of the presented way of handling the participation process on the other. © 2024 by the author."
Gao F.; Wu Z.; Han Z.; Wang Q.; He X.; Sun Y.; Zhao D.; Zhao W.; Sun M.,"Gao, Fengxi (57191520616); Wu, Zhuohang (57189308450); Han, Zhentao (57204706632); Wang, Qixiang (58091723900); He, Xin (57226843004); Sun, Yan (59528001100); Zhao, Dewei (59528001200); Zhao, Wengang (59526701600); Sun, Mingze (59526701700)",57191520616; 57189308450; 57204706632; 58091723900; 57226843004; 59528001100; 59528001200; 59526701600; 59526701700,Research on distribution inspection planning strategy based on artificial intelligence image recognition,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215961205&doi=10.1145%2f3700906.3700951&partnerID=40&md5=6959b607e1145c8e1be0af1829270779,"In order to actively promote the construction of new power systems and the digital transformation and upgrading of power grid companies, and explore the application of artificial intelligence technology, the power grid company has built artificial intelligence “two libraries and one platform”, that is, artificial intelligence platform, sample library, model library, and has carried out a lot of work in the application of artificial intelligence technology in equipment management, safe operation, marketing customer service and other business fields, and has precipitated rich samples, algorithms, and model achievements. With the increasing demand for intelligent application services and the increasing demand for samples and models in various business departments, it is urgent to introduce capabilities such as intelligent identification of electrical components and defect detection in scarce scenes on top of the existing artificial intelligence basic support capabilities to realize model training, iteration, optimization and improvement of accuracy, and deeply integrate the basic capabilities of artificial intelligence with the core business applications of the power grid. Further improve the ability to empower the profession and serve the grassroots. © 2024 Copyright held by the owner/author(s)."
Phattharathanasut T.,"Phattharathanasut, Tuwanont (58830570700)",58830570700,Transnational Youth Activist Networks in Asia: The Evolution and Dynamics of the Milk Tea Alliance,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213227499&doi=10.30687%2fAnnOr%2f2385-3042%2f2024%2f02%2f007&partnerID=40&md5=29cc99dbd9e2b593ff237593492e2964,"This study examines the development and dynamics of transnational youth activism in Asia, focusing on the case of the Milk Tea Alliance (MTA). It addresses two research questions: “How did it emerge?” and “How has it continued until today?”. Through interviews with 50 activists across Asia, the study argues that the MTA networks were developed and nurtured over many years, rather than being solely facilitated by digital communication technologies. The study identifies two key networks: the triangular network among Hongkonger, Taiwanese, and Thai youth activists, and the Network of Young Democratic Asians (NOYDA). While the triangular network was crucial in the early days, the NOYDA network became a key actor after the 2021 military coup in Myanmar. By using network analysis and a transnational historical approach, the study provides a more nuanced explanation of the recent wave of youth and student political activism in Asia. It also highlights the grassroots interconnectedness between East and Southeast Asia in the contemporary period. © 2024 Phattharathanasut."
Bakulina O.V.; Dvoretsky E.V.; Kozlov K.V.,"Bakulina, Oksana V. (57212588599); Dvoretsky, Evgeny V. (59533200600); Kozlov, Konstantin V. (57200338206)",57212588599; 59533200600; 57200338206,Regulatory framework for prosociality development in a modern Russian comprehensive school; [Нормативные основы формирования просоциальности в современной российской общеобразовательной школе],2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216337348&doi=10.32744%2fpse.2024.6.2&partnerID=40&md5=9cc33b47c1b8aa605def784504ce0799,"Introduction. The relevance of the study is determined by the need to develop prosocial behavior in young people as one of the main conditions for developing harmonious social relations in modern Russian society. The global trend toward implementing the idea of prosociality in education as a tool for developing prosocial communities is supported by leading global institutions and projects focused on the education system and upbringing of young people (for example, OECD Future of Education and Skills 2030, Global Education Futures). The study aims to identify the regulatory conditions for developing prosociality in a modern Russian comprehensive school. Materials and methods. The source base of the study was the regulatory documents defining the state policy of the Russian Federation in the field of education and upbringing in comprehensive schools (federal laws, decrees of the government of the Russian Federation, the Federal State Educational Standard of Basic General Education, the Concepts of academic subjects “Fundamentals of the Spiritual and Moral Culture of the Peoples of Russia”, “History of Russia”, “Social Science”, methodological recommendations and materials developed by the Ministry of Education, and administrative documents of the central education authorities in the Russian Federation). During the study, a systematic approach was used, as well as scientific research methods: textual analysis, the comparison method, and the historical and genetic method. Results. The studied corpus of documents displayed normative regulation of activities to develop prosociality as a moral quality in line with the paradigm of the humanistic nature of education. Forming the civic activity of schoolchildren as an integral part of prosocial behavior is possible through the participation of schoolchildren in solving national problems, primarily in the format of volunteering. The greatest attention in Russian legislation is paid to issues of patriotic education of youth. Conclusion. A phenomenon of modern education is prosocial attitudes being introduced into the consciousness of young people, understood as a person’s ability to help others, take an active civic position, and act in the external environment. © 2024 LLC Ecological Help. All rights reserved."
Gao S.; Yu F.; Su L.,"Gao, Shang (57204708854); Yu, Fakang (59480779300); Su, Longqiang (57193797950)",57204708854; 59480779300; 57193797950,Real time monitoring and statistical analysis of water intake based on computer information technology,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212585623&doi=10.1145%2f3690407.3690410&partnerID=40&md5=9085cc4d9d6e7f5e12b68442567ff3ee,"With the continuous iteration and upgrading of computer information technology, the real-time monitoring information system for water intake has gradually enriched its functions, improving the efficiency and accuracy of total water consumption statistics in water intake management. Taking Chun'an County in Hangzhou City as an example, this paper analyzes the development process of the real-time monitoring construction of water intake by self provided water intakes in the county, dissects the problems in the statistics of total water intake, and constantly improves the statistical methods. The total water consumption in the county is calculated and analyzed through three methods, namely, sampling survey, sample analysis based on real-time measurement, and Big data analysis. The advantages and disadvantages are compared, and the applicable scope of different methods is obtained. This paper provides technical services for grassroots water resource management work. © 2024 Copyright held by the owner/author(s)."
Soyipov S.; Khaitov F.; Shukurova F.; Rashidova K.; Aliyeva M.; Yuldasheva G.; Berdiyeva N.; Jumanov A.,"Soyipov, Sunatullo (59420385900); Khaitov, Fayzulla (57221665588); Shukurova, Feruza (59420532900); Rashidova, Kamila (59391580700); Aliyeva, Mehrinoza (59420081500); Yuldasheva, Gulnara (59419927800); Berdiyeva, Nazira (59420839800); Jumanov, Akbar (59420679200)",59420385900; 57221665588; 59420532900; 59391580700; 59420081500; 59419927800; 59420839800; 59420679200,Digital Democracy: How Technology Can Drive Higher Voter Turnout in Elections,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209883788&doi=10.51983%2fijiss-2024.14.4.04&partnerID=40&md5=e9e7dd155e930008e376858f52aa2a60,"This article pinpoints the transformative role of technology in improving the rate at which people vote during elections. An important concept developed in this paper is that of digital democracy, and as such, a thorough analysis will be done on technological advancements, which have so far proved very instrumental in promoting civic participation and entailing more involvement in the democratic process by all concerned through online voter registration, mobile phone applications, and social media campaigns. The article, therefore, pinpoints studies showing that states that have adopted online registration actually report higher rates of active voters, while mobile apps present information that makes voting more manageable. Social media also offers an effective outreach opportunity, particularly among younger voters, to create in them a sense of community and urgency about participation in electoral activity. The integration of educational tools, such as virtual workshops and gamified learning, enables further development of the capability to push participants and voters forward in an accessible and engaging manner. The article leverages these advantages of technological developments as a means toward creating a better-informed and more active electorate contributing to the health of democracy. © The Research Publication,."
Beeston E.,"Beeston, Erin (59491756600)",59491756600,"Forging the Future with the White Heat of the Past? Legacies of ‘the Tech’, and the Making of the Manchester Institute of Science and Technology, 1966–74",2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213310047&doi=10.7227%2fBJRL.100.2.7&partnerID=40&md5=b118f4472b215fc4d42c604722e68c1c,"The University of Manchester Institute of Science and Technology (UMIST) was created for the advancement of technical education in post-war Britain. Born of an existing technical college, fondly known as ‘the Tech’, UMIST represented optimism and Manchester’s prominent position in the ‘white heat’ epoch. Historians have recognised the political and personal role of the first principal, Vivian Bowden, in the expansion of UMIST in Manchester’s metropolitan and intellectual landscapes. Alongside colleagues and councillors, Bowden selectively harnessed Manchester’s scientific reputation and industrial heritage to forge the future. The purpose of this article is to contextualise this and understand how historical narratives and acts of commemoration aided the rapid expansion of UMIST in Manchester’s educational and civic realms. Considering the relationship of key actors with concepts of the past, present and future of technology underlines the significance of attitudes towards ‘the Tech’ in this process. © 2024 Manchester University Press. All rights reserved."
